"partida_id","rodata","clube","cartao","atleta","num_camisa","posicao","minuto"
"8186","17","Santos","1","Stiven Mendoza","20","Meio-campo","27"
"8186","17","Fluminense","1","Germán Cano","14","Atacante","86"
"8186","17","Fluminense","1","Leo Fernández","17","Meio-campo","42"
"8186","17","Fluminense","1","Marlon","4","Zagueiro","18"
"8186","17","Santos","1","Guilherme Camacho","29","Meio-campo","93"
"8186","17","Santos","1","João Paulo","34","Goleiro","86"
"8186","17","Santos","1","Rodrigo Fernández","14","Meio-campo","50"
"8187","17","Cruzeiro","1","William de Asevedo Furtado","12","Zagueiro","87"
"8187","17","Cruzeiro","1","Rafael Cabral Barbosa","1","Goleiro","85"
"8187","17","Athletico-PR","1","Arturo Vidal","23","Meio-campo","15"
"8187","17","Cruzeiro","1","Wesley Ribeiro Silva","11","Atacante","87"
"8187","17","Cruzeiro","1","Helibelton Palacios","24","Zagueiro","22"
"8188","17","Internacional","1","Thauan Lara","36","Zagueiro","94"
"8188","17","Internacional","1","Fabricio Bustos","16","Zagueiro","60"
"8188","17","Cuiaba","1","Walter Leandro Capeloza Artune","1","Goleiro","84"
"8188","17","Internacional","2","Gabriel Mercado","25","Zagueiro","66"
"8188","17","Internacional","1","Vitão","44","Zagueiro","81"
"8188","17","Internacional","1","Gabriel Mercado","25","Zagueiro","41"
"8188","17","Cuiaba","1","Raniele","14","Meio-campo","74"
"8190","17","Fortaleza","1","Cristian Chagas Tarouco","4","Zagueiro","81"
"8190","17","Bragantino","1","Gustavinho","22","Atacante","50"
"8190","17","Bragantino","1","Thiago Borbas","18","Atacante","47"
"8190","17","Fortaleza","1","Guilherme","29","Atacante","78"
"8190","17","Bragantino","1","Lucas Evangelista","8","Meio-campo","50"
"8189","17","Corinthians","1","Fausto Vera","5","Meio-campo","94"
"8189","17","Corinthians","1","João Victor Andrade Caetano","14","Zagueiro","8"
"8191","17","Atletico-MG","1","Éverson Felipe Marques Pires","22","Goleiro","44"
"8191","17","Flamengo","1","Matheus Cunha Queiroz","25","Goleiro","94"
"8191","17","Flamengo","1","Giorgian De Arrascaeta","14","Meio-campo","81"
"8191","17","Flamengo","1","Filipe Luís","16","Zagueiro","15"
"8191","17","Atletico-MG","1","Cristian Pavón","9","Meio-campo","49"
"8191","17","Atletico-MG","1","Renzo Saravia","26","Zagueiro","19"
"8191","17","Flamengo","1","Gabriel Barbosa","10","Atacante","92"
"8191","17","Flamengo","1","Léo Pereira","4","Zagueiro","25"
"8192","17","Bahia","1","Gabriel Xavier","3","Zagueiro","31"
"8192","17","Bahia","1","Matheus Bahia Santos","79","Zagueiro","18"
"8192","17","Bahia","1","Gilberto Moraes Júnior","2","Zagueiro","25"
"8192","17","Bahia","1","Rafael Ratão","11","Atacante","76"
"8193","17","America-MG","1","Paulo Bóia","47","Meio-campo","16"
"8193","17","America-MG","1","Juninho","8","Meio-campo","76"
"8193","17","Palmeiras","1","Gustavo Gómez","15","Zagueiro","37"
"8194","17","Botafogo-RJ","1","Carlos Eduardo de Oliveira Alves","33","Meio-campo","60"
"8194","17","Coritiba","1","Robson Fernandes","30","Meio-campo","35"
"8194","17","Coritiba","1","Matheus Bianqui","17","Meio-campo","35"
"8194","17","Coritiba","1","Natanael","16","Zagueiro","19"
"8195","17","Goias","1","Matheus Babi","9","Atacante","96"
"8195","17","Goias","1","Bruno Melo","19","Zagueiro","65"
"8195","17","Gremio","1","Cuiabano","54","Meio-campo","89"
"8195","17","Goias","1","Everton Morelli","40","Meio-campo","86"
"8195","17","Goias","1","Bruno Santos","13","Zagueiro","62"
"8195","17","Gremio","1","Ronald Falkoski","35","Meio-campo","27"
"8196","18","Santos","1","Stiven Mendoza","20","Atacante","88"
"8196","18","Santos","1","Lucas Rafael Araújo Lima","23","Atacante","74"
"8196","18","Athletico-PR","1","Vitor Roque","9","Atacante","89"
"8196","18","Santos","1","João Paulo","34","Goleiro","77"
"8196","18","Athletico-PR","1","Vitor Bueno","8","Meio-campo","100"
"8197","18","Fortaleza","1","Dudu","20","Zagueiro","95"
"8197","18","Fortaleza","1","Caio Alexandre","8","Meio-campo","17"
"8197","18","Goias","1","Lucas Eduardo Ribeiro de Souza","43","Zagueiro","44"
"8197","18","Fortaleza","1","Juan Martín Lucero","9","Atacante","80"
"8198","18","Internacional","2","Carlos de Pena","14","Zagueiro","92"
"8198","18","Internacional","1","Johnny Cardoso","30","Meio-campo","83"
"8198","18","Internacional","1","Carlos de Pena","14","Zagueiro","35"
"8198","18","Corinthians","1","Ruan Oliveira","33","Meio-campo","79"
"8198","18","Internacional","1","Sergio Rochet","33","Goleiro","101"
"8198","18","Internacional","1","Bruno Henrique Corsini","8","Meio-campo","64"
"8198","18","Corinthians","1","Roni","29","Meio-campo","92"
"8198","18","Corinthians","1","Yuri Alberto","9","Atacante","38"
"8199","18","Fluminense","1","Felipe Melo","30","Meio-campo","95"
"8199","18","Fluminense","1","Martinelli","8","Meio-campo","83"
"8199","18","Fluminense","1","John Kennedy","9","Atacante","32"
"8199","18","Palmeiras","1","Vanderlan","6","Zagueiro","22"
"8199","18","Fluminense","2","Leanderson da Silva Genésio","18","Atacante","89"
"8199","18","Fluminense","1","Leanderson da Silva Genésio","18","Atacante","87"
"8199","18","Fluminense","1","Lima","45","Meio-campo","49"
"8199","18","Palmeiras","1","Weverton Pereira da Silva","21","Goleiro","89"
"8200","18","Gremio","1","Reinaldo Manoel da Silva","6","Zagueiro","45"
"8200","18","Vasco","1","Bruno Praxedes","21","Meio-campo","47"
"8201","18","Sao Paulo","1","Pablo Maia","29","Meio-campo","80"
"8201","18","Sao Paulo","1","Diego Costa","4","Zagueiro","62"
"8201","18","Sao Paulo","1","Rafinha","13","Zagueiro","8"
"8201","18","Atletico-MG","1","Cristian Pavón","9","Meio-campo","70"
"8201","18","Atletico-MG","1","Rodrigo Battaglia","21","Meio-campo","60"
"8201","18","Sao Paulo","1","Lucas Beraldo","35","Zagueiro","95"
"8201","18","Sao Paulo","1","David Corrêa da Fonseca","22","Atacante","72"
"8201","18","Sao Paulo","1","Rodrigo Nestor","11","Meio-campo","47"
"8201","18","Atletico-MG","1","Matheus Mendes","31","Goleiro","91"
"8201","18","Atletico-MG","1","Renzo Saravia","26","Zagueiro","62"
"8201","18","Atletico-MG","1","Jemerson de Jesus Nascimento","34","Zagueiro","1"
"8202","18","Coritiba","1","Jamerson Bahia","83","Zagueiro","74"
"8202","18","Coritiba","1","Bruno Gomes","6","Meio-campo","27"
"8202","18","Bragantino","1","Luan Cândido","36","Zagueiro","73"
"8202","18","Bragantino","1","Vitor Hugo Naum dos Santos","28","Atacante","30"
"8202","18","Coritiba","1","Andrey","7","Meio-campo","35"
"8202","18","Bragantino","1","Juninho Capixaba","29","Meio-campo","90"
"8202","18","Bragantino","1","José Hurtado","34","Zagueiro","42"
"8202","18","Bragantino","1","Cipriano","38","Zagueiro","22"
"8204","18","Cruzeiro","1","Luciano Castán","4","Zagueiro","81"
"8204","18","Botafogo-RJ","1","Tiquinho Soares","9","Atacante","38"
"8204","18","Botafogo-RJ","1","Fernando Marçal","21","Zagueiro","56"
"8203","18","America-MG","2","Esteban Burgos","26","Zagueiro","65"
"8203","18","Bahia","1","Vitor Hugo Franchescoli de Souza","31","Zagueiro","99"
"8203","18","Bahia","1","Vítor Jacaré","29","Atacante","83"
"8203","18","America-MG","1","Juninho","8","Meio-campo","78"
"8203","18","America-MG","1","Gonzalo Mastriani","17","Atacante","65"
"8203","18","Bahia","1","Léo Cittadini","18","Meio-campo","94"
"8203","18","Bahia","1","Ademir","7","Meio-campo","72"
"8203","18","America-MG","1","Martín Benítez","10","Meio-campo","72"
"8203","18","America-MG","1","Esteban Burgos","26","Zagueiro","34"
"8205","18","Cuiaba","1","Raniele","14","Meio-campo","58"
"8205","18","Cuiaba","1","Uendel Pereira Gonçalves","6","Zagueiro","90"
"8206","19","Botafogo-RJ","1","Janderson","39","Atacante","94"
"8206","19","Internacional","1","Gabriel Mercado","25","Zagueiro","97"
"8206","19","Internacional","1","Sergio Rochet","33","Goleiro","52"
"8206","19","Botafogo-RJ","1","Philipe Sampaio","94","Zagueiro","99"
"8206","19","Botafogo-RJ","1","Adryelson","34","Zagueiro","61"
"8206","19","Internacional","1","Gabriel Girotto Franco","23","Meio-campo","63"
"8207","19","Atletico-MG","1","Otávio Henrique Passos Santos","5","Meio-campo","44"
"8207","19","Bahia","2","Ryan","66","Zagueiro","96"
"8207","19","Atletico-MG","1","Cristian Pavón","9","Meio-campo","44"
"8207","19","Bahia","1","Gabriel Teixeira","10","Atacante","72"
"8208","19","America-MG","2","Daniel Borges","20","Zagueiro","94"
"8208","19","Goias","1","Matheus Babi","9","Atacante","80"
"8210","19","Gremio","1","Fábio Pereira da Silva","2","Zagueiro","46"
"8210","19","Fluminense","1","André","7","Meio-campo","73"
"8210","19","Fluminense","1","Samuel Xavier","2","Zagueiro","30"
"8210","19","Gremio","1","Luis Alberto Suárez","9","Atacante","82"
"8210","19","Gremio","1","Mathías Villasanti","20","Meio-campo","42"
"8210","19","Fluminense","1","Daniel Sampaio Simões","55","Meio-campo","57"
"8210","19","Fluminense","1","Marlon","4","Zagueiro","27"
"8209","19","Corinthians","1","Fagner","23","Zagueiro","26"
"8209","19","Coritiba","1","Victor Luis","26","Zagueiro","20"
"8209","19","Corinthians","1","Maycon de Andrade Barberan","7","Meio-campo","94"
"8209","19","Coritiba","1","Henrique Adriano Buss","3","Zagueiro","84"
"8211","19","Fortaleza","1","Cristian Chagas Tarouco","4","Zagueiro","41"
"8211","19","Santos","1","Rodrigo Fernández","14","Meio-campo","38"
"8211","19","Fortaleza","1","Imanol Machuca","39","Atacante","18"
"8212","19","Flamengo","1","Wesley França","43","Zagueiro","24"
"8212","19","Sao Paulo","1","Alan Franco","28","Zagueiro","95"
"8212","19","Sao Paulo","1","Jandrei","93","Goleiro","82"
"8212","19","Sao Paulo","1","Juan Santos da Silva","31","Meio-campo","29"
"8212","19","Flamengo","1","Gerson Santos da Silva","20","Meio-campo","99"
"8212","19","Sao Paulo","1","Wellington Rato","27","Meio-campo","101"
"8212","19","Sao Paulo","1","Rodrigo Nestor","11","Meio-campo","91"
"8212","19","Sao Paulo","1","Welington","6","Zagueiro","77"
"8213","19","Palmeiras","1","Gustavo Gómez","15","Zagueiro","35"
"8213","19","Cruzeiro","1","Gilberto Oliveira Souza Junior","99","Atacante","81"
